Time,Heart Rate
09:22:42,70
09:23:02,73
09:24:18,70
10:03:33,70
10:03:43,68
10:03:48,63
10:03:53,64
10:03:58,68
10:04:03,72
10:04:08,70
10:04:13,71
10:04:18,74
10:04:23,76
10:04:33,80
10:04:38,81
10:04:48,83
10:04:58,87
10:05:03,89
10:05:08,87
10:05:18,86
10:05:23,86
10:05:33,90
10:05:38,95
10:05:43,97
10:05:57,95
10:06:02,93
10:06:07,92
10:06:22,94
10:06:27,96
10:06:32,96
10:06:42,95
10:06:47,92
10:08:38,70
10:08:48,67
10:08:53,101
10:08:58,125
10:09:03,120
10:09:08,118
10:09:13,119
10:09:23,118
10:09:33,120
10:09:38,122
10:09:53,122
10:09:58,119
10:10:03,114
10:10:08,113
10:10:13,112
10:10:18,107
10:12:24,70
10:12:34,66
10:14:25,70
10:14:35,67
10:14:40,73
10:14:45,71
10:17:32,70
10:18:15,70
10:18:20,70
10:18:25,73
10:18:30,82
10:18:35,78
10:18:40,77
10:18:45,78
10:18:50,83
10:18:55,86
10:19:00,88
10:19:05,86
10:19:10,84
10:19:15,83
10:19:20,81
10:19:25,80
10:19:30,79
10:19:35,78
10:19:45,79
10:26:23,70
10:27:00,70
10:27:10,70
10:27:15,80
10:32:58,70
10:34:12,70
10:36:14,70
10:36:19,70
10:36:24,69
10:36:29,63
10:36:39,64
10:36:54,63
10:37:04,63
10:38:25,70
10:54:01,70
10:56:47,70
10:57:33,70
10:57:43,71
10:57:48,74
10:57:53,73
10:57:58,72
10:58:03,72
10:58:08,71
10:58:13,68
10:58:18,67
10:58:28,66
11:03:26,70
11:25:01,70
11:25:16,70
11:25:56,70
11:26:26,70
11:26:58,70
11:27:08,70
11:27:23,70
11:27:28,69
11:27:33,67
11:27:38,73
11:27:43,74
11:27:48,69
11:27:53,67
11:46:09,70
12:34:30,70
12:40:38,70
12:51:13,70
12:51:28,70
12:51:33,68
12:51:38,70
12:51:43,67
12:51:48,78
12:51:53,83
12:51:58,78
12:52:13,78
12:52:18,78
12:52:28,77
13:28:22,70
13:32:40,70
13:32:50,73
13:32:55,76
13:33:00,75
13:45:45,70
13:45:55,73
13:46:00,75
13:46:05,68
13:46:20,69
13:46:30,70
13:46:40,69
13:46:45,68
13:47:00,67
13:47:05,66
13:47:10,68
13:47:15,69
14:41:27,70
15:36:04,70
15:53:02,70
15:53:13,70
15:54:09,70
15:54:19,93
15:54:24,101
15:54:29,103
15:54:34,96
15:54:39,94
15:54:54,97
15:54:59,101
15:55:04,103
15:55:14,102
15:55:19,103
15:55:24,105
15:55:29,106
15:55:44,110
15:55:49,115
15:55:54,120
15:56:04,124
15:56:09,128
15:56:19,127
15:56:24,122
15:56:41,115
15:56:46,117
15:56:51,119
15:56:56,118
15:57:01,119
15:57:06,120
15:57:11,115
15:57:16,110
15:57:31,110
15:57:36,109
15:57:41,105
15:57:46,101
15:57:51,99
15:58:01,98
15:58:06,96
15:58:11,95
15:58:16,93
15:58:21,90
15:58:26,89
15:58:31,84
15:58:36,82
15:58:41,80
15:58:46,78
15:58:51,77
15:58:56,75
15:59:11,75
15:59:21,76
15:59:26,79
15:59:31,80
15:59:36,84
15:59:41,86
15:59:46,88
15:59:51,90
16:00:01,93
16:00:06,96
16:00:11,97
16:00:26,96
16:25:44,70
16:25:59,70
16:26:04,69
17:20:21,70
18:14:59,70
